@relation R_data_frame

@attribute chou_fasman numeric
@attribute emini numeric
@attribute kolaskar_tongaonkar numeric
@attribute parker numeric
@attribute isoelectric_point numeric
@attribute aromaticity numeric
@attribute hydrophobicity numeric
@attribute stability numeric
@attribute target {Non-promoting,Promoting}

@data
1.105,0.503,1.052,1.4,11.244568,0.087179,-1.016923,54.916923,Promoting
1.128,1.038,1.029,3.533,5.60675,0.10846,0.280694,29.829957,Promoting
1.135,4.992,0.92,7.383,5.60675,0.10846,0.280694,29.829957,Promoting
0.752,0.147,1.185,-2.067,5.60675,0.10846,0.280694,29.829957,Promoting
1.243,0.466,1.137,3.033,5.60675,0.10846,0.280694,29.829957,Promoting
1.133,3.24,1.04,0.75,5.075623,0.097695,0.213282,48.22427,Promoting
0.852,0.551,1.121,-1.767,5.075623,0.097695,0.213282,48.22427,Promoting
1.033,2.494,1.055,1.317,5.075623,0.097695,0.213282,48.22427,Promoting
0.887,1.444,1.025,2.017,5.075623,0.097695,0.213282,48.22427,Promoting
0.937,1.306,1.132,0.45,5.075623,0.097695,0.213282,48.22427,Promoting
1.182,1.578,1.107,1.783,5.075623,0.097695,0.213282,48.22427,Promoting
0.793,0.342,1.114,-1.833,4.931213,0.05618,-0.009551,40.120225,Promoting
0.623,0.275,1.144,-1.683,5.81488,0.099476,0.020419,52.824084,Promoting
1.14,0.87,1.09,-0.6,6.042786,0.065292,-0.242955,27.556873,Promoting
0.848,0.421,1.018,-2.167,9.382629,0.122047,-0.609055,38.43937,Promoting
1.05,0.469,1.107,1.367,10.647278,0.037483,0.685274,26.835475,Promoting
0.823,0.478,1.054,-0.733,5.715637,0.069401,0.040379,36.494637,Non-promoting
1.02,1.655,1.02,1.267,8.581116,0.090543,-0.424145,35.780926,Promoting
1.008,0.473,1.099,1.633,8.581116,0.090543,-0.424145,35.780926,Non-promoting
1.042,0.861,1.015,2.533,4.161804,0.063559,-0.394162,45.375852,Promoting
0.63,0.277,1.06,-2.617,6.078552,0.076733,-0.333663,34.892327,Promoting
0.815,1.572,1.009,0.933,8.347229,0.084615,-0.311795,33.058744,Promoting
0.907,2.22,0.963,-0.383,8.347229,0.084615,-0.311795,33.058744,Promoting
0.765,0.839,0.972,0.55,8.347229,0.084615,-0.311795,33.058744,Promoting
0.952,3.654,1.05,2.05,8.347229,0.084615,-0.311795,33.058744,Promoting
0.807,2.556,0.934,1.417,8.347229,0.084615,-0.311795,33.058744,Promoting
1.162,0.345,1.129,1.9,9.227966,0.085954,0.227254,55.859979,Promoting
1.06,0.845,1.062,0.6,4.612244,0.064202,0.198833,23.166926,Promoting
1.048,0.921,1.023,0.133,6.566956,0.081081,-0.199189,36.560865,Promoting
1.047,1.723,1.057,2.5,6.566956,0.081081,-0.199189,36.560865,Promoting
1.1,0.647,1.044,0.867,6.419617,0.099338,-0.558278,21.075166,Promoting
1.023,0.755,1.046,3.717,9.129578,0.102041,-0.375765,23.085459,Promoting
1.14,1.327,1.038,2.617,7.959167,0.05255,-0.091345,47.925348,Promoting
0.962,1.337,0.979,4.017,7.959167,0.05255,-0.091345,47.925348,Promoting
1.433,1.622,1.031,3.5,7.959167,0.05255,-0.091345,47.925348,Promoting
1.167,1.671,1.083,2.3,7.959167,0.05255,-0.091345,47.925348,Promoting
1.003,0.844,0.979,1.45,6.770691,0.092555,-0.031187,44.633602,Promoting
0.903,0.208,1.117,-2.217,4.851624,0.092555,0.718712,47.265594,Promoting
1.077,7.44,0.858,7.083,8.909607,0.1,0.023649,43.79448,Non-promoting
0.923,0.304,1.021,0.417,8.909607,0.1,0.023649,43.79448,Non-promoting
0.853,0.481,1.069,-0.85,8.909607,0.1,0.023649,43.79448,Promoting
1.098,4.859,0.954,3.983,8.909607,0.1,0.023649,43.79448,Non-promoting
0.96,1.218,1.017,1.683,8.909607,0.1,0.023649,43.79448,Non-promoting
0.8,1.845,1.019,0.633,8.909607,0.1,0.023649,43.79448,Promoting
0.865,0.585,1.012,2.9,5.520935,0.094972,-0.535754,34.750307,Promoting
1.147,3.205,0.98,2.333,8.447571,0.098361,0.106557,53.259426,Non-promoting
1.077,0.843,1.027,1.4,8.447571,0.098361,0.106557,53.259426,Promoting
1.112,0.56,1.148,-1.217,8.272034,0.062937,-0.530769,58.128205,Promoting
1.308,0.54,1.076,3.25,5.172913,0.0625,-0.414063,48.23125,Non-promoting
1.053,0.783,1.002,0.95,7.830627,0.016529,-0.440496,45.818182,Promoting
1.048,1.182,0.963,4.1,7.830627,0.016529,-0.440496,45.818182,Promoting
0.787,1.139,0.994,3.367,9.869202,0.038095,-0.929524,53.02,Promoting
1.147,1.378,1.008,2.667,9.869202,0.038095,-0.929524,53.02,Promoting
0.943,1.206,0.984,3.133,6.428772,0.051491,-0.023848,38.447967,Promoting
0.937,1.163,1.055,2.733,11.756287,0.063636,-0.735455,61.92,Promoting
0.993,1.296,0.977,3.883,5.488342,0.070755,-0.111321,47.890566,Promoting
0.997,0.908,1.067,1.467,5.488342,0.070755,-0.111321,47.890566,Promoting
0.872,0.4,1.12,-4.917,5.488342,0.070755,-0.111321,47.890566,Promoting
0.88,0.566,1.036,0.8,5.107361,0.088792,-0.282678,43.506696,Promoting
1.128,4.651,0.93,6.133,5.827209,0.10828,-0.365393,41.189851,Promoting
1.112,0.892,0.994,4.967,8.492493,0.059158,-1.129807,58.791593,Promoting
0.948,0.183,1.089,-2.75,9.556091,0.117188,-0.519922,39.369531,Promoting
1.073,2.926,0.943,4.6,8.715515,0.070313,0.071094,49.101172,Non-promoting
1.05,1.774,1,1.467,8.715515,0.070313,0.071094,49.101172,Promoting
1.087,0.832,0.951,4.767,8.729919,0.056022,-0.920728,46.652381,Promoting
1.042,1.891,0.896,4.033,9.439758,0.139276,0.554039,35.580557,Promoting
0.73,0.102,1.169,-2.033,9.439758,0.139276,0.554039,35.580557,Non-promoting
0.745,0.314,1.057,-2.55,9.439758,0.139276,0.554039,35.580557,Non-promoting
1.043,1.856,0.939,6.217,9.009094,0.103064,-0.564903,13.246546,Promoting
1.148,0.623,0.958,2.75,6.648499,0.089783,0.450155,30.450495,Promoting
1.1,0.673,0.989,2.45,10.113708,0.06872,-1.02654,52.280142,Promoting
0.913,0.229,1.093,-0.35,10.113708,0.06872,-1.02654,52.280142,Promoting
0.877,1.026,1.164,-1.967,9.264221,0.074074,0.553086,31.772963,Promoting
0.888,0.753,0.948,2.667,11.127014,0.051471,-0.579412,49.001471,Promoting
0.86,1.704,0.996,2.117,4.436951,0.075949,1.267089,13.974684,Promoting
0.828,0.438,1.081,2.317,5.644714,0.070299,-0.312478,28.067311,Promoting
0.865,0.544,1.049,-0.3,5.644714,0.070299,-0.312478,28.067311,Promoting
1.023,0.855,1.005,0.617,5.004089,0.12709,-0.398328,31.725753,Promoting
1.322,4.411,0.92,5.917,9.030701,0.08742,-0.263753,40.689989,Promoting
0.832,0.554,1.096,-2.083,6.230652,0.07963,-0.112778,45.323519,Promoting
1.127,1.466,0.969,3.817,9.526794,0.081522,-0.826087,41.752174,Promoting
1.042,1.709,0.996,1.917,6.09967,0.092262,0.704464,40.933631,Promoting
0.938,1.361,0.945,5.117,4.080872,0,-1.268212,92.239735,Promoting
0.902,1.633,0.935,5.55,4.080872,0,-1.268212,92.239735,Promoting
1.038,0.933,0.939,5.2,4.080872,0,-1.268212,92.239735,Promoting
1.302,1.557,0.989,4.433,9.480042,0.045822,-0.916105,72.194279,Promoting
0.912,0.586,1.049,1.333,7.637878,0.083756,-0.142893,61.10967,Promoting
1.163,0.898,1.009,-0.783,7.651794,0.07888,-0.124173,57.985013,Promoting
0.937,0.34,0.973,-3.533,5.638611,0.083019,-0.013585,37.453792,Promoting
0.872,1.073,1.013,2.517,6.184753,0.07221,-0.6814,45.240481,Non-promoting
1.005,0.642,0.978,1.2,6.184753,0.07221,-0.6814,45.240481,Non-promoting
0.775,0.562,1.088,-1.5,6.184753,0.07221,-0.6814,45.240481,Non-promoting
1.072,0.387,1.051,0.817,6.184753,0.07221,-0.6814,45.240481,Non-promoting
0.942,0.333,1.145,-0.25,6.184753,0.07221,-0.6814,45.240481,Non-promoting
0.96,1.006,1.024,3.433,6.184753,0.07221,-0.6814,45.240481,Non-promoting
1.253,1.028,0.996,3.383,5.139832,0.084813,-0.08856,43.652682,Promoting
0.957,3.884,0.961,2.517,5.139832,0.084813,-0.08856,43.652682,Promoting
0.96,0.843,1.114,-1,5.901794,0.06801,-0.392443,39.641587,Promoting
1.073,1.058,1.011,4.517,6.055237,0.065789,-0.236466,52.334962,Promoting
1.03,0.393,1.034,2.6,4.999207,0.105263,-0.066541,47.948872,Promoting
0.97,2.013,0.979,0.914,5.810364,0.103275,-0.143829,40.2733,Promoting
0.834,0.186,1.099,-2.957,5.810364,0.103275,-0.143829,40.2733,Promoting
0.806,0.377,0.951,-0.886,5.810364,0.103275,-0.143829,40.2733,Promoting
1.106,1.071,1.045,1.614,5.810364,0.103275,-0.143829,40.2733,Promoting
0.794,0.494,1.015,0.814,5.810364,0.103275,-0.143829,40.2733,Promoting
1.066,0.635,1.034,2.371,6.210876,0.065476,-0.036905,24.998512,Promoting
1.077,2.537,0.9,5.143,6.210876,0.065476,-0.036905,24.998512,Promoting
0.896,0.759,1.051,-0.743,4.938782,0.075188,-0.007519,29.751128,Promoting
1.004,1.853,0.973,2.814,5.027039,0.029586,-0.759172,48.456824,Promoting
0.977,0.407,1.049,0.857,5.027039,0.029586,-0.759172,48.456824,Promoting
0.786,0.6,1.083,0.643,6.072571,0.090551,-0.577953,45.752362,Promoting
1.013,1.422,1.034,1.714,8.450989,0.072289,0.106024,44.986747,Promoting
1.267,0.15,1.145,3.014,7.96991,0.066667,-0.753333,137.046667,Promoting
1.201,0.625,1.121,2.771,7.96991,0.066667,-0.753333,137.046667,Non-promoting
1.233,0.549,1.068,3.414,7.96991,0.066667,-0.753333,137.046667,Promoting
1.199,1.394,1.024,3.514,7.96991,0.066667,-0.753333,137.046667,Promoting
1.176,2.33,1.052,3.386,7.96991,0.066667,-0.753333,137.046667,Non-promoting
1.18,0.234,1.192,2.314,6.962585,0.076923,-0.153846,125.076923,Promoting
1.133,0.647,1.119,1.943,6.962585,0.076923,-0.153846,125.076923,Non-promoting
1.297,0.92,1.082,3.686,8.534729,0.071429,-0.557143,92.878571,Non-promoting
1.114,0.652,0.988,4.2,9.497864,0.114458,-0.577711,30.294639,Promoting
0.71,0.338,1.147,-3.457,6.899475,0.125828,0.256291,20.358278,Promoting
0.71,0.365,1.147,-3.457,6.38385,0.119205,0.339073,14.258278,Promoting
0.883,0.73,1.11,2.029,5.555481,0.074906,-0.717228,40.824345,Promoting
0.844,2.212,0.973,1.943,5.60675,0.10846,0.280694,29.829957,Promoting
1.044,1.38,0.977,4.629,5.60675,0.10846,0.280694,29.829957,Promoting
1.016,0.781,1.06,0.557,5.60675,0.10846,0.280694,29.829957,Promoting
0.939,0.592,1.078,-0.886,5.075623,0.097695,0.213282,48.22427,Non-promoting
1.021,2.343,0.98,1.529,5.075623,0.097695,0.213282,48.22427,Non-promoting
0.926,0.529,1.039,0.457,5.075623,0.097695,0.213282,48.22427,Promoting
0.813,0.48,1.135,-2.971,5.075623,0.097695,0.213282,48.22427,Promoting
0.884,0.352,1.084,-2.4,5.075623,0.097695,0.213282,48.22427,Promoting
0.797,0.365,1.074,-2.357,5.075623,0.097695,0.213282,48.22427,Promoting
1.06,0.499,1.032,1.814,5.075623,0.097695,0.213282,48.22427,Promoting
1.064,1.09,1.059,0.357,5.075623,0.097695,0.213282,48.22427,Promoting
0.924,1.456,1.029,0.7,5.075623,0.097695,0.213282,48.22427,Non-promoting
1.11,1.885,1.009,0.714,6.499573,0.091312,-0.169681,45.118218,Promoting
0.76,1.098,0.992,1.314,4.565125,0.086957,-0.48913,36.454348,Promoting
1.299,0.461,0.957,2.471,9.382629,0.122047,-0.609055,38.43937,Promoting
1.261,1.627,0.944,3.2,9.382629,0.122047,-0.609055,38.43937,Promoting
1.217,2.072,0.981,3.571,5.092346,0.072335,-0.332487,45.097589,Promoting
1.151,6.593,0.957,6.086,5.092346,0.072335,-0.332487,45.097589,Promoting
1.379,0.389,0.98,3.471,4.422913,0.034783,-0.237391,53.642609,Non-promoting
0.979,0.8,0.986,1.614,5.715637,0.069401,0.040379,36.494637,Non-promoting
1.044,1.298,1.035,1.114,5.715637,0.069401,0.040379,36.494637,Non-promoting
1.153,2.366,0.9,7.814,3.686096,0,-1.971171,72.9,Promoting
0.839,0.256,1.117,-1.457,4.908142,0.038095,-0.379048,67.130476,Promoting
0.939,0.136,1.144,0.771,6.078552,0.076733,-0.333663,34.892327,Promoting
0.837,0.588,1.06,-0.4,6.078552,0.076733,-0.333663,34.892327,Promoting
0.979,2.836,1.031,2.629,8.347229,0.084615,-0.311795,33.058744,Promoting
1.13,1.871,1.004,3.857,9.227966,0.085954,0.227254,55.859979,Promoting
0.849,1.979,0.868,4.243,9.940857,0.050343,-1.839817,79.509611,Promoting
1.309,1.013,1.002,3.543,6.101624,0.038585,-0.993248,60.209325,Promoting
0.884,0.769,1.016,1.214,9.831604,0.070922,-0.438652,56.52805,Non-promoting
1.19,1.017,0.976,2.014,9.715027,0.056604,-0.706918,76.659182,Promoting
1.117,6.549,0.901,4.843,6.361755,0.121771,0.80738,43.480849,Promoting
0.766,0.389,1.047,1.157,8.766418,0.032967,-0.499267,10.615018,Promoting
0.96,0.699,1.005,1.1,7.959167,0.05255,-0.091345,47.925348,Promoting
0.963,0.455,1.016,1.929,7.959167,0.05255,-0.091345,47.925348,Promoting
1.446,2.021,1.036,3.3,7.959167,0.05255,-0.091345,47.925348,Promoting
1.44,3.873,1.042,2.543,7.959167,0.05255,-0.091345,47.925348,Promoting
1.291,1.901,1.027,3.8,7.959167,0.05255,-0.091345,47.925348,Promoting
1.217,2.082,1.08,2.271,7.959167,0.05255,-0.091345,47.925348,Promoting
1.004,0.934,1.025,0.414,6.093689,0.075472,-0.054953,45.201179,Promoting
0.941,0.052,1.17,1.2,9.333069,0.078431,-1.290458,45.737137,Promoting
0.984,0.347,1.093,-1.614,8.091614,0.096257,-0.277005,47.143369,Non-promoting
0.963,1.627,1.017,2.3,8.909607,0.1,0.023649,43.79448,Non-promoting
1.077,7.344,0.943,4.014,8.909607,0.1,0.023649,43.79448,Non-promoting
1.059,0.956,1.038,1.5,8.447571,0.098361,0.106557,53.259426,Promoting
0.931,0.457,1.15,-2.686,8.447571,0.098361,0.106557,53.259426,Non-promoting
1.119,2.032,0.999,1.214,8.447571,0.098361,0.106557,53.259426,Non-promoting
1.013,0.706,1.124,-2.014,8.447571,0.098361,0.106557,53.259426,Promoting
1.331,2.656,0.877,5.843,9.22699,0.058242,-0.146593,34.985835,Promoting
1.039,0.927,1.006,1.014,8.7005,0.084183,-0.165249,35.691966,Promoting
0.967,0.835,0.978,0.314,11.19928,0.025,-0.370833,46.68,Non-promoting
0.986,0.918,0.957,2.329,5.693665,0.120226,-0.394201,41.098034,Promoting
1.216,1.102,0.898,4.114,8.457703,0.058824,-0.447479,19.310084,Promoting
0.981,1.368,1.017,1.771,8.457703,0.058824,-0.447479,19.310084,Promoting
1.291,0.204,1.124,2.986,5.172913,0.0625,-0.414063,48.23125,Non-promoting
1.314,0.122,1.095,3.114,5.172913,0.0625,-0.414063,48.23125,Promoting
1.077,0.461,1.03,1.586,6.556335,0.108639,0.068325,41.044673,Promoting
1.03,0.287,1.061,-0.057,7.830627,0.016529,-0.440496,45.818182,Promoting
0.934,0.319,1.006,1.214,4.603333,0.050704,-1.126338,48.802113,Non-promoting
1.031,0.531,1.025,1.543,4.603333,0.050704,-1.126338,48.802113,Promoting
1.026,0.867,0.973,1.843,9.869202,0.038095,-0.929524,53.02,Promoting
1.124,1.215,0.908,2.7,9.869202,0.038095,-0.929524,53.02,Promoting
0.94,1.147,0.999,0.429,9.869202,0.038095,-0.929524,53.02,Promoting
0.817,0.166,1.056,-0.857,9.869202,0.038095,-0.929524,53.02,Promoting
0.819,0.595,1.07,0.243,9.869202,0.038095,-0.929524,53.02,Promoting
0.946,0.978,1.022,4.329,9.869202,0.038095,-0.929524,53.02,Promoting
1.077,0.992,1.016,2.586,9.869202,0.038095,-0.929524,53.02,Promoting
1.01,0.735,0.936,1.571,9.869202,0.038095,-0.929524,53.02,Promoting
0.961,0.909,1.149,0.157,9.556091,0.117188,-0.519922,39.369531,Promoting
1.286,0.412,0.95,3.1,9.556091,0.117188,-0.519922,39.369531,Promoting
0.991,1.777,1.006,3.414,8.715515,0.070313,0.071094,49.101172,Non-promoting
1.021,2.081,1.045,2.414,8.727112,0.117096,0.267916,39.025597,Promoting
1.08,1.521,0.927,5.4,8.729919,0.056022,-0.920728,46.652381,Promoting
0.793,0.298,1.105,-0.843,8.729919,0.056022,-0.920728,46.652381,Promoting
0.861,0.116,1.094,-2.871,8.729919,0.056022,-0.920728,46.652381,Promoting
0.929,1.733,1.043,1.914,9.439758,0.139276,0.554039,35.580557,Promoting
1.073,1.113,1.025,1.371,9.439758,0.139276,0.554039,35.580557,Non-promoting
0.827,0.393,1.057,0.4,8.199036,0.094536,-0.385169,48.965846,Promoting
0.979,2.213,0.967,1.1,8.199036,0.094536,-0.385169,48.965846,Promoting
1.306,3.132,0.862,6.157,8.824036,0.101887,0.636226,33.051396,Promoting
1.091,0.855,1.037,-0.171,8.824036,0.101887,0.636226,33.051396,Promoting
0.923,0.715,1.046,0.314,7.422302,0.07362,-0.075869,52.752761,Promoting
1.06,0.515,1.123,1.371,5.562073,0.117928,-0.04502,32.418821,Promoting
0.974,4.106,1.028,2.471,4.436951,0.075949,1.267089,13.974684,Promoting
0.947,2.849,1.041,1.029,4.436951,0.075949,1.267089,13.974684,Promoting
0.881,1.107,1.101,-2.757,4.436951,0.075949,1.267089,13.974684,Promoting
1.01,5.109,0.972,4.286,4.436951,0.075949,1.267089,13.974684,Promoting
0.823,1.363,1.01,0.5,4.436951,0.075949,1.267089,13.974684,Promoting
1.113,4.927,0.974,4.6,4.436951,0.075949,1.267089,13.974684,Promoting
1.05,0.54,1.006,-0.514,4.436951,0.075949,1.267089,13.974684,Promoting
0.96,1.363,0.991,1.229,4.436951,0.075949,1.267089,13.974684,Promoting
1.031,0.437,1.015,-0.343,4.436951,0.075949,1.267089,13.974684,Promoting
0.911,0.45,1.06,-2.643,4.436951,0.075949,1.267089,13.974684,Promoting
0.866,2.01,1.073,-1.271,4.436951,0.075949,1.267089,13.974684,Promoting
0.831,1.391,1.018,0.714,4.436951,0.075949,1.267089,13.974684,Promoting
0.877,2.725,0.999,2.671,4.436951,0.075949,1.267089,13.974684,Promoting
0.81,0.957,1.107,-3.443,4.436951,0.075949,1.267089,13.974684,Promoting
0.753,1.39,1.068,-3.057,4.436951,0.075949,1.267089,13.974684,Promoting
0.736,1.182,1.054,-2.886,4.436951,0.075949,1.267089,13.974684,Promoting
0.963,0.874,1.128,-3.057,4.436951,0.075949,1.267089,13.974684,Promoting
0.884,2.483,1.065,-1.443,4.436951,0.075949,1.267089,13.974684,Promoting
1.019,1.836,1.094,-0.886,4.436951,0.075949,1.267089,13.974684,Promoting
1.07,4.361,1.041,1.029,4.436951,0.075949,1.267089,13.974684,Promoting
0.93,1.183,1.075,0.914,6.309387,0.080229,0.088825,30.886562,Promoting
0.784,0.425,1.032,0.171,6.309387,0.080229,0.088825,30.886562,Promoting
1.166,1.738,0.909,3.714,5.644714,0.070299,-0.312478,28.067311,Promoting
1.084,1.731,0.945,0.629,5.004089,0.12709,-0.398328,31.725753,Promoting
1.32,1.216,0.974,4.043,8.856873,0.127389,-1.088535,30.348408,Promoting
0.854,0.567,1.035,1.371,8.856873,0.127389,-1.088535,30.348408,Promoting
1.071,1.188,0.97,2.5,4.798035,0.062937,-0.461538,44.090909,Promoting
1.176,0.977,0.939,1.729,8.588806,0.144279,0.267662,24.400995,Promoting
1.127,3.618,0.988,4.571,8.346619,0.02381,-0.402381,18.77619,Promoting
0.83,1.024,0.992,0.314,5.725281,0.129187,-0.445113,43.115871,Non-promoting
